Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
R13        0603_[1608]            48.2mm    190.9998mm        48.2mm         191mm        48.2mm    191.6998mm  B        270.00 NP             
R12        0603_[1608]            45.5mm    190.9998mm        45.5mm         191mm        45.5mm    191.6998mm  B        270.00 0R             
R11        0603_[1608]            44.2mm    190.9998mm        44.2mm         191mm        44.2mm    191.6998mm  B        270.00 NP             
R10        0603_[1608]            49.5mm    190.9998mm        49.5mm         191mm        49.5mm    191.6998mm  B        270.00 0R             
R9         0603_[1608]            44.2mm    185.1998mm        44.2mm       185.2mm        44.2mm    185.8998mm  B        270.00 NP             
R8         0603_[1608]            49.5mm    185.1998mm        49.5mm       185.2mm        49.5mm    185.8998mm  B        270.00 0R             
R7         0603_[1608]            48.2mm    185.1998mm        48.2mm       185.2mm        48.2mm    185.8998mm  B        270.00 NP             
R6         0603_[1608]            45.5mm    185.1998mm        45.5mm       185.2mm        45.5mm    185.8998mm  B        270.00 0R             
R5         0603_[1608]         60.6002mm       228.6mm        60.6mm       228.6mm     59.9002mm       228.6mm  B        360.00 220K 1%        
R4         0603_[1608]         60.5999mm       231.2mm        60.6mm       231.2mm     61.2998mm       231.2mm  B        180.00 820K 1%        
R3         0603_[1608]         60.6002mm       229.9mm        60.6mm       229.9mm     59.9002mm       229.9mm  B        360.00 390K 1%        
R2         0603_[1608]            60.9mm    224.1998mm        60.9mm       224.2mm        60.9mm    224.8998mm  B        270.00 10R 1%         
L1         WE-TPC-6823-X          69.2mm       224.5mm        69.2mm       224.5mm        69.2mm     221.325mm  B         90.00 22uH WE 744062220
C8         0603_[1608]         60.5999mm       227.3mm        60.6mm       227.3mm     61.2998mm       227.3mm  B        180.00 100nF          
C7         0603_[1608]         52.1002mm       218.5mm        52.1mm       218.5mm     51.4002mm       218.5mm  B        360.00 100nF          
C6         0603_[1608]            62.4mm    221.2002mm        62.4mm       221.2mm        62.4mm    220.5001mm  B         90.00 100nF          
C5         1210_[3225]            60.2mm       220.4mm        60.2mm       220.4mm        60.2mm      219.05mm  B         90.00 2.2uF          
C4         0603_[1608]         63.9002mm       228.6mm        63.9mm       228.6mm     63.2002mm       228.6mm  B        360.00 1uF            
C3         0603_[1608]         63.9002mm       227.3mm        63.9mm       227.3mm     63.2002mm       227.3mm  B        360.00 100nF          
J4         fcc-zif_40pin_0.5mm      47.245mm         209mm        47.5mm         209mm       48.49mm    199.2499mm  B         90.00 Display LCD 4.3''
J1         SOCKET_2x26_2.54MM_SMD     41.9898mm    152.9401mm     41.9898mm    152.9401mm     73.7398mm    150.3401mm  B        180.00 EVA01 - TOP    
J2         SOCKET_2x26_2.54MM_SMD       77.56mm    193.5802mm       77.56mm    193.5802mm       74.96mm    161.8302mm  B         90.00 EVA01 - LEFT   
