Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

2          Develer_logo_15x6mm   -268.2008mm   -163.6408mm         9.7mm        26.9mm   -268.2008mm   -163.6408mm  T        360.00                
           DEVELER_LOGO_8X3MM_BOTSOLDER   -268.2008mm   -163.6408mm       83.25mm       55.25mm   -268.2008mm   -163.6408mm  T         90.00                
           DEVELER_LOGO_8X3MM   -268.2008mm   -163.6408mm          67mm        99.4mm   -268.2008mm   -163.6408mm  T        360.00                
J10        HEADER_2X2_2.54MM_THD        48.1mm    104.3402mm        48.1mm    104.3402mm       46.83mm    105.6102mm  T        270.00 DEBUG          
R11        0603_[1608]            45.6mm     36.4002mm        45.6mm        36.4mm        45.6mm     35.7002mm  B         90.00 NP             
R10        0603_[1608]            44.3mm     36.4002mm        44.3mm        36.4mm        44.3mm     35.7002mm  B         90.00 22R            
R9         0603_[1608]            42.5mm     97.3002mm        42.5mm        97.3mm        42.5mm     96.6002mm  B         90.00 10K            
J4         HEADER_1X2_2.54MM_THD        56.2mm        97.5mm        56.2mm        97.5mm       57.47mm        97.5mm  T        180.00 USB_PWR        
R8         0603_[1608]         78.5998mm       112.4mm        78.6mm       112.4mm     79.2998mm       112.4mm  B        180.00 680R           
D8         0603_[1608]_LED          64mm    116.9998mm          64mm         117mm          64mm    117.6998mm  T        270.00 Vusb           
L21        0603_[1608]            27.3mm    108.2998mm        27.3mm       108.3mm        27.3mm    108.9998mm  T        270.00 180R @ 100Mhz  
L20        0603_[1608]            28.7mm    108.2998mm        28.7mm       108.3mm        28.7mm    108.9998mm  T        270.00 180R @ 100Mhz  
L18        0805_[2012]            57.9mm       103.5mm        57.9mm       103.5mm        57.9mm       102.7mm  T         90.00 220 ohm @ 100MHz
L19        0805_[2012]            57.9mm       100.5mm        57.9mm       100.5mm        57.9mm       101.3mm  T        270.00 NP (220 ohm @ 100MHz)
L17        0805_[2012]            32.9mm        23.8mm        32.9mm        23.8mm        33.7mm        23.8mm  B        180.00 220 ohm @ 100MHz
L16        0805_[2012]            54.3mm        52.4mm        54.3mm        52.4mm        54.3mm        51.6mm  B         90.00 220 ohm @ 100MHz
L15        0805_[2012]            44.3mm        61.8mm        44.3mm        61.8mm        45.1mm        61.8mm  B        180.00 220 ohm @ 100MHz
C12        1206_[3216]            35.5mm        63.1mm        35.5mm        63.1mm        35.5mm       61.75mm  B         90.00 1uF            
R62        0603_[1608]            42.7mm     27.4998mm        42.7mm        27.5mm        42.7mm     28.1998mm  B        270.00 22R            
R60        0603_[1608]            44.3mm     39.0002mm        44.3mm          39mm        44.3mm     38.3002mm  B         90.00 22R            
R59        0603_[1608]            45.6mm     41.6002mm        45.6mm        41.6mm        45.6mm     40.9002mm  B         90.00 22R            
R58        0603_[1608]            44.3mm     41.6002mm        44.3mm        41.6mm        44.3mm     40.9002mm  B         90.00 22R            
R57        0603_[1608]            54.8mm     38.9998mm        54.8mm          39mm        54.8mm     39.6998mm  B        270.00 22R            
R56        0603_[1608]          14.475mm    115.2598mm      14.475mm      115.26mm      14.475mm    115.9598mm  B        270.00 470R           
R54        0603_[1608]            44.4mm     97.3002mm        44.4mm        97.3mm        44.4mm     96.6002mm  T         90.00 22R            
R52        0603_[1608]            42.5mm     97.3002mm        42.5mm        97.3mm        42.5mm     96.6002mm  T         90.00 22R            
R51        0603_[1608]            40.6mm     97.3002mm        40.6mm        97.3mm        40.6mm     96.6002mm  T         90.00 22R            
R49        0603_[1608]          75.375mm     98.9005mm      75.375mm     98.9003mm      75.375mm     98.2005mm  B         90.00 22R            
C22        0603_[1608]            52.9mm    100.2998mm        52.9mm       100.3mm        52.9mm    100.9998mm  T        270.00 NP (100nF)     
C21        0603_[1608]         60.0998mm       102.7mm        60.1mm       102.7mm     60.7998mm       102.7mm  T        180.00 100nF          
C20        0603_[1608]            64.1mm    101.5002mm        64.1mm       101.5mm        64.1mm    100.8002mm  T         90.00 100nF          
C17        0603_[1608]         60.2002mm       109.4mm        60.2mm       109.4mm     59.5002mm       109.4mm  T        360.00 10nF           
