Altium Designer Pick and Place Locations
C:\Users\Asterix\Documents\github\eva01\Assembly\shield_can-display\Pick Place for shield_can-display.txt

========================================================================================================================
File Design Information:

Date:       12-02-20
Time:       12:27
Revision:   169f2a4ed689d31f043e6d5b1ae53812ba471e46
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                               
R32        100k                  BottomLayer 0603_[1608]                        24.7320      -23.1079     270      "Resistor 0.125W"                                                                                         
R31        NP                    BottomLayer 0603_[1608]                        26.0574      -23.0967     90       "Resistor 0.125W"                                                                                         
J8         "Display LCD 4.3''"   BottomLayer FCC-ZIF_40PIN_0.5MM_TOP_LOWPROFILE 51.5000      -16.8500     360      "Connectors, FPC, SMT ZIF, Low Profile, Horizontal, Top Contact, pitch 0.5 mm, 40 pins (WE 687140183622)" 
R57        33R                   BottomLayer 0603_[1608]                        24.7404      -19.6942     270      Resistor                                                                                                  
R52        33R                   BottomLayer 0603_[1608]                        26.0404      -19.6942     270      Resistor                                                                                                  
R50        33R                   BottomLayer 0603_[1608]                        27.3404      -19.6942     270      Resistor                                                                                                  
R49        33R                   BottomLayer 0603_[1608]                        28.6404      -19.6942     270      Resistor                                                                                                  
R30        2k2                   BottomLayer 0603_[1608]                        28.6274      -23.0940     90       "Resistor 0.125W"                                                                                         
R29        2k2                   BottomLayer 0603_[1608]                        27.3274      -23.0940     90       "Resistor 0.125W"                                                                                         
C21        100nF                 BottomLayer 0603_[1608]                        30.5404      -19.6942     270      "Ceramic X7R 50V"                                                                                         
R64        1K                    BottomLayer 0603_[1608]                        64.1998      -30.7500     180      Resistor                                                                                                  
R63        0R                    BottomLayer 0603_[1608]                        -10.0496     19.5895      270      Resistor                                                                                                  
R62        0R                    BottomLayer 0603_[1608]                        -13.0496     19.5895      270      Resistor                                                                                                  
R61        NP                    BottomLayer 0603_[1608]                        -16.0496     19.5895      270      Resistor                                                                                                  
R60        NP                    BottomLayer 0603_[1608]                        -11.5496     19.5895      270      Resistor                                                                                                  
R59        NP                    BottomLayer 0603_[1608]                        -14.5496     19.5895      270      Resistor                                                                                                  
R58        0R                    BottomLayer 0603_[1608]                        -17.5496     19.5895      270      Resistor                                                                                                  
SW1        RESET                 BottomLayer TACTILE_SWITCH_6x6MM_SMD           -43.0000     -63.0000     180      "Tactile switch smd H=4.3mm 10x6mm (like cod. Farnell 2435308)"                                           
U2         MCP2515-I/SO          BottomLayer SOIC18                             3.8000       12.4900      90       "Stand-Alone CAN controller with SPI interface"                                                           
R43        "NP (0R)"             BottomLayer 0603_[1608]                        -35.0000     -50.9002     270      Resistor                                                                                                  
C1         100nF                 BottomLayer 0603_[1608]                        24.4002      -39.7000     360      "Ceramic X7R 50V"                                                                                         
C2         100nF                 BottomLayer 0603_[1608]                        11.1000      16.3901      90       "Ceramic X7R 50V"                                                                                         
C3         100nF                 BottomLayer 0603_[1608]                        9.0000       20.1901      90       "Ceramic X7R 50V"                                                                                         
C4         100nF                 BottomLayer 0603_[1608]                        31.8002      -61.6000     360      "Ceramic X7R 50V"                                                                                         
C5         15pF                  BottomLayer 0603_[1608]                        -5.1002      13.1900      180      "Ceramic 50V NP0/C0G"                                                                                     
C6         15pF                  BottomLayer 0603_[1608]                        -7.8000      9.4898       270      "Ceramic 50V NP0/C0G"                                                                                     
C7         100nF                 BottomLayer 0603_[1608]                        2.0000       -50.3998     90       "Ceramic X7R 50V"                                                                                         
C8         100nF                 BottomLayer 0603_[1608]                        12.5000      -62.5998     90       "Ceramic X7R 50V"                                                                                         
C9         100nF                 BottomLayer 0603_[1608]                        -25.4710     -39.9248     90       "Ceramic X7R 50V"                                                                                         
C10        100nF                 BottomLayer 0603_[1608]                        -24.0000     -40.0002     270      "Ceramic X7R 50V"                                                                                         
C11        100nF                 BottomLayer 0603_[1608]                        -21.6000     -39.9002     270      "Ceramic X7R 50V"                                                                                         
C12        100nF                 BottomLayer 0603_[1608]                        -19.1000     -39.9002     270      "Ceramic X7R 50V"                                                                                         
C13        100nF                 BottomLayer 0603_[1608]                        -27.1000     -47.2002     270      "Ceramic X7R 50V"                                                                                         
C14        100nF                 BottomLayer 0603_[1608]                        -16.5996     9.8897       90       "Ceramic X7R 50V"                                                                                         
C15        100nF                 BottomLayer 0603_[1608]                        64.1998      -34.2500     180      "Ceramic X7R 50V"                                                                                         
C16        1uF                   BottomLayer 0603_[1608]                        64.1998      -32.8500     180      "Ceramic X7R, X5R 16V"                                                                                    
C17        2.2uF                 BottomLayer 1210_[3225]                        56.7002      -23.0500     360      "Ceramic X7R, X5R 50V"                                                                                    
C18        100nF                 BottomLayer 0603_[1608]                        57.0003      -25.3500     360      "Ceramic X7R 50V"                                                                                         
C19        100nF                 BottomLayer 0603_[1608]                        64.1998      -26.5500     180      "Ceramic X7R 50V"                                                                                         
C20        100nF                 BottomLayer 0603_[1608]                        -43.7000     -55.7002     270      "Ceramic X7R 50V"                                                                                         
D1         BAV70                 BottomLayer SOT-23                             12.8000      20.3900      360      Diode                                                                                                     
D2         SMBJ12CA              BottomLayer DO214AA_12                         18.6000      -54.8000     270      "TVS bidirectional"                                                                                       
D3         SMBJ12CA              BottomLayer DO214AA_12                         30.2000      -54.8000     270      "TVS bidirectional"                                                                                       
D4         SMBJ12CA              BottomLayer DO214AA_12                         -1.4000      -54.8000     90       "TVS bidirectional"                                                                                       
D5         SMBJ12CA              BottomLayer DO214AA_12                         5.5000       -57.2000     360      "TVS bidirectional"                                                                                       
D6         SMBJ12CA              BottomLayer DO214AA_12                         12.1000      -54.8000     90       "TVS bidirectional"                                                                                       
