Altium Designer Pick and Place Locations
C:\Users\Asterix\Documents\github\eva01\Assembly\shield_io\Pick Place for shield_io.txt

========================================================================================================================
File Design Information:

Date:       27-08-19
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment         Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                
C106       10uF            TopLayer    1206_[3216]                   -43.0000     -9.0000      180      "Ceramic X7R 25V"                                          
U44        AD5624RBRMZ     TopLayer    MSOP50P490X110-10P            -42.0000     -20.5000     90       "12bit DAC"                                                
U14        OPA4188AID      TopLayer    SOIC14                        -55.0000     -20.4999     90       "Quad Op Amp"                                              
R387       0R              TopLayer    0603_[1608]                   -43.7502     -12.5000     180      Resistor                                                   
R386       NP              TopLayer    0603_[1608]                   -43.7498     -14.0000     360      Resistor                                                   
R107       NP              TopLayer    0603_[1608]                   -51.7502     -15.2499     180      Resistor                                                   
R106       NP              TopLayer    0603_[1608]                   -58.2498     -13.7499     360      Resistor                                                   
R105       0R              TopLayer    0603_[1608]                   -48.7502     -12.2499     180      Resistor                                                   
R104       NP              TopLayer    0603_[1608]                   -51.7502     -13.7499     180      Resistor                                                   
R103       0R              TopLayer    0603_[1608]                   -61.2498     -13.7499     360      Resistor                                                   
R102       NP              TopLayer    0603_[1608]                   -58.2498     -15.2499     360      Resistor                                                   
R101       NP              TopLayer    0603_[1608]                   -48.7502     -13.7499     180      Resistor                                                   
R100       NP              TopLayer    0603_[1608]                   -61.2498     -12.2499     360      Resistor                                                   
R99        NP              TopLayer    0603_[1608]                   -53.2498     -10.7499     360      Resistor                                                   
R98        NP              TopLayer    0603_[1608]                   -56.7502     -10.7499     180      Resistor                                                   
R97        33R             TopLayer    0603_[1608]                   -48.7502     -17.2499     180      Resistor                                                   
R96        33R             TopLayer    0603_[1608]                   -61.2498     -17.2499     360      Resistor                                                   
R95        0R              TopLayer    0603_[1608]                   -54.0000     -8.5001      270      Resistor                                                   
R94        0R              TopLayer    0603_[1608]                   -56.0000     -8.5001      270      Resistor                                                   
