Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~eva01.PrjPcb|ReportField=ProjectFullPath~F:\src\db-eva\eva01\eva01.PrjPcb|ReportField=Title~bom For Project [eva01.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~188|ReportField=ReportTime~14:47:31|ReportField=ReportDate~11/01/2016|ReportField=ReportDateTime~11/01/2016 14:47:31|ReportField=OutputName~bom|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~via Mugellese 1/A|ReportField=Address2~50019 Campi Bisenzio|ReportField=Address3~Firenze|ReportField=Address4~ITALY|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Daniele Basile <asterix@develer.com>|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~Develer s.r.l.|ReportField=ProjectName~|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~DevelBoard EVA01 Main Connectors|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~eva01.PrjPcb|ReportField=DataSourceFullPath~F:\src\db-eva\eva01\eva01.PrjPcb
10uF|Ceramic X5R 25V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X5R 25V, Ceramic X5R 25V, Ceramic X5R 25V, Ceramic X5R 25V, Ceramic X7R 50V, Ceramic X7R 50V|C1, C7, C10, C13, C24, C26, C29, C40, C49, C50|1206_[3216]|Cap Pol1, Cap Pol1, Cap Pol1, Cap Pol1, Cap Pol1, Cap Pol1, Cap Pol1, Cap, Cap Pol1, Cap Pol1|10
100nF|Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Capacitor, Capacitor, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V, Ceramic X7R 50V|C2, C3, C6, C11, C14, C15, C18, C19, C20, C21, C23, C25, C27, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C43, C44, C47, C48, C73, C74|0603_[1608]|Cap|30
100uF|EEEFK1H101P SMT 6x6 35V|C4|CAP_6x6_D8_SMD|Cap Pol1|1
100uF|Tantalum 10V (T495D107K010ATE100)|C5|[7343]_CAP_TAN|Cap Pol1|1
1uF|Ceramic X7R 50V|C8, C12, C42|1206_[3216]|Cap Pol1, Cap Pol1, Cap|3
10nF|Ceramic X7R 50V|C9, C17|0603_[1608]|Cap|2
4.7uF|Ceramic X5R 25V|C16|1206_[3216]|Cap Pol1|1
NP (100nF)|Ceramic X7R 50V|C22|0603_[1608]|Cap|1
4.7uF|Ceramic X7R 10V|C41|0805_[2012]|Cap|1
100pF|Ceramic COG 50V|C45, C46|0603_[1608]|Cap|2
SMBJ28A|TRANSIL (SM6T12A)|D2|DO214AA_12|D Zener|1
+24V|LED Green|D3|0603_[1608]_LED|LED0|1
+5V|LED Green|D4|0603_[1608]_LED|LED0|1
+3.3V|LED Green|D5|0603_[1608]_LED|LED0|1
MBR120VLSFT1G|Diode Schottky  low Vf, If 1A (PMEG3010ER; MBRX120LF)|D6, D7|SOD-123|Diode|2
Vusb|LED Green|D8|0603_[1608]_LED|LED0|1
+1.8V|LED Green|D17|0603_[1608]_LED|LED0|1
B340A|Diode Schottky (STPS2L40U)|DZ1|DO214AA_12|D Schottky|1
TOP|Pin header 26x2|J1|HEADER_2x26_2.54MM_SMD|Header 26x2|1
